term,term_lemma,familiarity_score
University of Library and Information Science,university of library and information science,1.1666666666666667
Virtual International Authority File,virtual international authority file,2.625
WIPO,wipo,3.0
Wada Mankichi,wada mankichi,3.0
Western Library Network,western library network,2.6666666666666665
Western journal,western journal,3.5
Western magazine,western magazine,2.5
Wikipedia,wikipedia,3.0
World Intellectual Property Organization,world intellectual property organization,2.6666666666666665
World Wide Web,world wide web,1.6666666666666667
World Wide Web Consortium,world wide web consortium,1.6666666666666667
Yuan edition,yuan edition,3.0
Yuasa Kichiro,yuasa kichiro,3.0
Zipf's law,zipf 's law,1.5
abbreviated entry,abbreviate entry,3.0
aboutness,aboutness,3.0
abridged edition,abridge edition,3.0
absorption,absorption,3.0
abstract,abstract,3.0
abstract journal,abstract journal,3.0
academic library,academic library,2.0
access point,access point,2.5
accessibility,accessibility,5.0
accession by incorporating,accession by incorporate,1.0
accession by purchase,accession by purchase,2.5
accession order number,accession order number,1.25
accession work,accession work,1.0
accessions register,accession register,3.0
acidic paper,acidic paper,3.0
acquisition policy,acquisition policy,3.5
acquisition service,acquisition service,3.5
adaptation,adaptation,3.0
added copy,add copy,1.25
added entry,add entry,2.0
added title page,add title page,1.3333333333333333
adding,add,1.0
additional edition statement,additional edition statement,2.3333333333333335
administrative code,administrative code,2.5
administrative document,administrative document,3.5
admission card,admission card,2.0
admission fee,admission fee,2.5
adult education,adult education,2.0
adult service,adult service,2.5
agent,agent,2.0
alcove arrangement of shelves,alcove arrangement of shelf,1.6666666666666667
alkaline paper,alkaline paper,1.0
almanac,almanac,3.0
alphabetico-subject index,alphabetico - subject index,2.5
alternative heading system,alternative heading system,2.5
alternative title,alternative title,2.5
amount of information,amount of information,1.6666666666666667
analytical bibliography,analytical bibliography,3.0
analytico-synthetic classification,analytico - synthetic classification,4.5
analytics,analytic,3.0
annotated bibliography,annotate bibliography,3.0
annotation,annotation,3.0
annual,annual,3.0
anonymous,anonymous,4.0
anonymous classic,anonymous classic,3.5
anthology,anthology,6.0
antiquarian book,antiquarian book,2.0
antiquarian bookshop,antiquarian bookshop,2.0
apocryphal work,apocryphal work,1.0
approval plan,approval plan,2.5
apron theater,apron theater,1.0
archival material,archival material,4.0
archival studies,archival study,3.75
archives,archive,3.0
archivist,archivist,3.0
area,area,2.0
arrangement,arrangement,3.0
arrangement of the shelves,arrangement of the shelf,1.5
array,array,3.0
art museum,art museum,1.5
article,article,1.0
artificial characteristic,artificial characteristic,2.75
artificial intelligence,artificial intelligence,2.0
aspect classification,aspect classification,3.5
assigned indexing,assign indexing,3.0
assigned reading book,assign reading book,2.0
association copy,association copy,1.75
association library,association library,1.5
associative relationship,associative relationship,3.0
audio material,audio material,2.0
